final_loss,train_loss,epoch,step,max_score,median_score,mean_score,max_norm
3.886880397796631,4.260787487030029,0,0,,,,
1.321739673614502,1.4619768857955933,0,1,,,,
0.9785835146903992,1.0639652013778687,0,2,,,,
0.8646599650382996,0.9416726231575012,0,3,,,,
0.8267021179199219,0.8834406733512878,0,4,,,,
0.9770214557647705,1.087643027305603,0,5,,,,
0.8260352611541748,0.9064614772796631,0,6,,,,
0.7530918121337891,0.8171472549438477,0,7,,,,
0.8823236227035522,1.1189664602279663,0,8,,,,
0.9528783559799194,1.0809166431427002,0,9,,,,
0.7345913648605347,0.8407226800918579,0,10,4.188273906707764,4.071574687957764,4.071605205535889,
,,0,10,,,,1.1126809120178223
