kl_divergence,mean_ratio_initial_iter,median_ratio_initial_iter,pairwise_hd_aver,mean_hd_from_CreiLOV,fitness_advantage,total_reward,ppo_loss_initial_iter,num_muts,aver_num_masks_to_add_muts,batch_size,epoch,step,rel_WT_fitness,max_norm
0.0,1.0,1.0,19.0,15.0,0.9314267039299011,0.9314457178115845,-0.9296875,15.0,13.0,2.0,0,0,,
,,,,,,,,,,,0,0,0.9314267039299011,0.3137192130088806
0.009024483151733875,1.015625,1.0,16.666667938232422,15.0,0.9003635048866272,0.9003801941871643,-0.89453125,15.0,12.666666984558105,3.0,1,1,,
,,,,,,,,,,,1,1,0.9003635048866272,0.29194188117980957
