final_loss,train_loss,epoch,step,max_score,median_score,mean_score,max_norm
3.716869354248047,4.071671009063721,0,0,,,,
1.540420413017273,1.7026253938674927,0,1,,,,
1.086066484451294,1.1795979738235474,0,2,,,,
0.8792496919631958,0.9606997966766357,0,3,,,,
0.8701090812683105,0.9296615719795227,0,4,,,,
1.0088462829589844,1.1188312768936157,0,5,,,,
0.8284142017364502,0.9078324437141418,0,6,,,,
0.7763262987136841,0.8405843377113342,0,7,,,,
0.9125146269798279,1.1393507719039917,0,8,,,,
1.0053036212921143,1.1391161680221558,0,9,,,,
0.7591608166694641,0.8712016344070435,0,10,4.179231643676758,4.070334434509277,4.068048000335693,
,,0,10,,,,0.8191877007484436
