Step,Fitness
0,-0.42316368520259856
1,-0.42316368520259856
2,0.9173785448074341
3,0.9173785448074341
4,3.1586153507232666
5,3.1586153507232666
6,3.1586153507232666
7,2.2797499895095825
8,2.6523921966552733
9,2.6523921966552733
10,2.6523921966552733
11,2.6523921966552733
12,3.0777239322662355
13,3.0777239322662355
14,2.4250016450881957
15,2.4250016450881957
16,2.4250016450881957
17,1.3416260719299316
18,1.3416260719299316
19,0.644138514995575
20,0.644138514995575
21,0.644138514995575
22,1.9943243384361267
23,1.9943243384361267
24,1.9943243384361267
25,1.9943243384361267
26,2.0895511865615846
27,2.0895511865615846
28,2.0895511865615846
29,4.106483364105225
30,4.926334238052368
31,4.369239044189453
32,4.369239044189453
33,4.369239044189453
34,4.369239044189453
35,4.369239044189453
36,4.369239044189453
37,4.369239044189453
38,4.369239044189453
39,4.369239044189453
40,4.67505373954773
41,4.67505373954773
42,4.67505373954773
43,4.67505373954773
44,4.67505373954773
45,4.67505373954773
46,4.67505373954773
47,4.67505373954773
48,4.67505373954773
49,6.24752779006958
50,6.24752779006958
51,6.24752779006958
52,5.933313608169556
53,5.933313608169556
54,5.933313608169556
55,5.933313608169556
56,5.933313608169556
57,5.933313608169556
58,4.622962951660156
59,4.622962951660156
60,4.622962951660156
61,4.622962951660156
62,4.622962951660156
63,4.622962951660156
64,4.622962951660156
65,4.782502937316894
66,5.919658041000366
67,5.919658041000366
68,5.919658041000366
69,5.919658041000366
70,5.919658041000366
71,5.919658041000366
72,5.919658041000366
73,5.919658041000366
74,5.919658041000366
75,5.919658041000366
76,4.48131046295166
77,4.48131046295166
78,4.48131046295166
79,4.48131046295166
80,5.596344518661499
81,5.596344518661499
82,5.596344518661499
83,5.596344518661499
84,5.596344518661499
85,5.596344518661499
86,6.014568233489991
87,6.014568233489991
88,6.014568233489991
89,6.014568233489991
90,6.014568233489991
91,5.573594474792481
92,5.573594474792481
93,4.939179277420044
94,4.969402313232422
95,4.969402313232422
96,4.969402313232422
97,4.969402313232422
98,4.969402313232422
99,4.969402313232422
100,4.969402313232422
101,5.447316408157349
102,5.447316408157349
103,5.447316408157349
104,5.447316408157349
105,5.447316408157349
106,6.181851863861084
107,6.181851863861084
108,6.181851863861084
109,6.181851863861084
110,6.181851863861084
111,3.888675332069397
112,3.888675332069397
113,3.888675332069397
114,3.888675332069397
115,3.3132914781570433
116,3.3132914781570433
117,3.3132914781570433
118,2.151789903640747
119,1.791166567802429
