final_loss,train_loss,epoch,step,max_score,median_score,mean_score,max_norm
3.886880397796631,4.260787487030029,0,0,,,,
1.3486416339874268,1.4917712211608887,0,1,,,,
0.9898862838745117,1.076604962348938,0,2,,,,
0.8531907796859741,0.9293882250785828,0,3,,,,
0.819426953792572,0.8756885528564453,0,4,,,,
0.9765423536300659,1.0871533155441284,0,5,,,,
0.8240338563919067,0.9046899676322937,0,6,,,,
0.754804790019989,0.8189978003501892,0,7,,,,
0.8831429481506348,1.120565414428711,0,8,,,,
0.9526731967926025,1.0807137489318848,0,9,,,,
0.7339685559272766,0.8400334715843201,0,10,4.189153671264648,4.073975563049316,4.075058460235596,
,,0,10,,,,0.9728294014930725
