kl_divergence,mean_ratio_initial_iter,median_ratio_initial_iter,pairwise_hd_aver,mean_hd_from_CreiLOV,fitness_advantage,total_reward,ppo_loss_initial_iter,num_muts,aver_num_masks_to_add_muts,batch_size,epoch,step,rel_WT_fitness,max_norm
0.0,1.0,1.0,17.0,10.0,0.062405943870544434,0.062422942370176315,-0.0625,10.0,14.5,2.0,0,0,,
,,,,,,,,,,,0,0,0.062405943870544434,0.07269487529993057
0.025864416733384132,1.1328125,1.1015625,17.33333396911621,10.0,0.051635291427373886,0.05165262520313263,-0.0537109375,10.0,12.666666984558105,3.0,1,1,,
,,,,,,,,,,,1,1,0.051635291427373886,0.08011048287153244
0.054540034383535385,1.1953125,1.203125,16.666667938232422,10.0,0.17523083090782166,0.17524749040603638,-0.173828125,10.0,12.75,4.0,2,2,,
,,,,,,,,,,,2,2,0.17523083090782166,0.08514184504747391
0.05671854689717293,1.234375,1.1015625,17.100000381469727,10.0,0.28433459997177124,0.2843517065048218,-0.287109375,10.0,14.0,5.0,3,3,,
,,,,,,,,,,,3,3,0.28433459997177124,0.08360512554645538
0.05979238077998161,1.234375,1.0625,16.26666831970215,10.0,0.08981866389513016,0.08983492851257324,-0.09130859375,10.0,13.5,6.0,4,4,,
,,,,,,,,,,,4,4,0.08981866389513016,0.07063982635736465
