kl_divergence,mean_ratio_initial_iter,median_ratio_initial_iter,pairwise_hd_aver,mean_hd_from_CreiLOV,fitness_advantage,total_reward,ppo_loss_initial_iter,num_muts,aver_num_masks_to_add_muts,batch_size,epoch,step,rel_WT_fitness,max_norm
0.0,1.0,1.0,14.0,10.0,0.6381614804267883,0.6381754875183105,-0.63671875,10.0,10.0,2.0,0,0,,
,,,,,,,,,,,0,0,0.6381614804267883,0.32371217012405396
0.006610443349927664,1.0078125,1.0,13.333333969116211,10.0,1.4135658740997314,1.4135792255401611,-1.4140625,10.0,8.0,3.0,1,1,,
,,,,,,,,,,,1,1,1.4135658740997314,0.5396420955657959
0.014117746613919735,1.0078125,0.99609375,13.5,10.0,1.3990226984024048,1.399036169052124,-1.3828125,10.0,8.75,4.0,2,2,,
,,,,,,,,,,,2,2,1.3990226984024048,0.5629816651344299
0.015976784750819206,1.015625,0.99609375,13.199999809265137,10.0,1.5291588306427002,1.5291720628738403,-1.5234375,10.0,8.600000381469727,5.0,3,3,,
,,,,,,,,,,,3,3,1.5291588306427002,0.6422277688980103
0.018439307808876038,1.046875,1.0,12.666666984558105,10.0,2.042361259460449,2.0423738956451416,-2.09375,10.0,8.0,6.0,4,4,,
,,,,,,,,,,,4,4,2.042361259460449,0.6976497769355774
