DPO_loss_step,mean_preferred_ratios_step,mean_rejected_ratios_step,epoch,step,DPO_loss_epoch,mean_preferred_ratios_epoch,mean_rejected_ratios_epoch,max_norm
0.6931473016738892,-4.6864153091519256e-07,-1.7485024272900773e-07,0,49,,,,
0.693146824836731,-2.45451929004048e-07,-1.0350943284720415e-06,0,99,,,,
0.6931470632553101,-1.4183223129293765e-06,-1.691013494564686e-06,0,149,,,,
0.6931455731391907,-9.521842230242328e-07,-4.209816779621178e-06,0,199,,,,
0.6931468844413757,-2.9402078780549346e-06,-3.367126282682875e-06,0,249,,,,
0.6931446194648743,-3.4627322520464077e-07,-5.512059033208061e-06,0,299,,,,
0.6931431889533997,-4.7239663558684697e-07,-8.442938451480586e-06,0,349,,,,
0.6931430101394653,-4.1067596612265334e-07,-8.791535947239026e-06,0,399,,,,
0.6931407451629639,-6.71029056320549e-06,-1.9576937120291404e-05,0,449,,,,
0.6931374073028564,-2.998679747179267e-06,-2.257832784380298e-05,0,499,,,,
0.6931332945823669,9.81777930064709e-07,-2.6715488274930976e-05,0,549,,,,
0.6931390762329102,-3.6398766951606376e-06,-1.980033630388789e-05,0,599,,,,
0.6931367516517639,-5.437731829260883e-07,-2.1393834686023183e-05,0,649,,,,
,,,0,692,0.6931418776512146,-2.1707724044972565e-06,-9.254596079699695e-06,0.1767660230398178
0.6931400895118713,-1.921236389534897e-06,-1.6040921764215454e-05,1,699,,,,
0.6931443214416504,-2.8368382118060254e-05,-3.407904296182096e-05,1,749,,,,
0.693132758140564,3.977418145950651e-06,-2.4976194254122674e-05,1,799,,,,
0.6931326389312744,3.8167817706380447e-07,-2.870377829822246e-05,1,849,,,,
0.6931329965591431,-7.111906597856432e-06,-3.549096072674729e-05,1,899,,,,
0.693114697933197,-1.1972278116445523e-05,-7.697966793784872e-05,1,949,,,,
0.6931412816047668,-6.810038939875085e-06,-1.847827479650732e-05,1,999,,,,
0.6931231021881104,-1.920291833812371e-05,-6.73723261570558e-05,1,1049,,,,
0.6931282877922058,-8.269220415968448e-06,-4.604390051099472e-05,1,1099,,,,
0.6931208968162537,-8.981019163911697e-06,-6.157863390399143e-05,1,1149,,,,
0.6931599974632263,-1.741305095492862e-05,8.115917808027007e-06,1,1199,,,,
0.6931096911430359,9.578258868714329e-06,-6.537073932122439e-05,1,1249,,,,
0.6931134462356567,-3.375363303348422e-05,-0.00010124165419256315,1,1299,,,,
0.6931223273277283,5.868613698112313e-06,-4.3775795347755775e-05,1,1349,,,,
,,,1,1385,0.6931277513504028,-7.3167375376215205e-06,-4.6302528062369674e-05,0.34752294421195984
0.6931332349777222,-1.2914925719087478e-05,-4.075452670804225e-05,2,1399,,,,
0.6931333541870117,3.296166369182174e-06,-2.444293932057917e-05,2,1449,,,,
0.6930913329124451,-1.696794129202317e-06,-0.00011342847574269399,2,1499,,,,
0.6931231617927551,-1.0765224942588247e-05,-5.883538324269466e-05,2,1549,,,,
0.6931325793266296,1.8554686903371476e-05,-1.0607033800624777e-05,2,1599,,,,
0.6930867433547974,2.9182850994402543e-05,-9.172624413622543e-05,2,1649,,,,
0.693104088306427,2.318549195479136e-05,-6.310489698080346e-05,2,1699,,,,
0.6931306719779968,-2.1650639610015787e-05,-5.456161670736037e-05,2,1749,,,,
0.6931136846542358,-1.3523310371965636e-05,-8.050676842685789e-05,2,1799,,,,
0.6931149363517761,-3.1117528124013916e-05,-9.56802032305859e-05,2,1849,,,,
0.6930853724479675,-4.384625572129153e-05,-0.00016753756790421903,2,1899,,,,
0.6931106448173523,-3.854554961435497e-05,-0.00011173108214279637,2,1949,,,,
0.6931210160255432,3.528472734615207e-05,-1.7142532669822685e-05,2,1999,,,,
0.6930900812149048,2.5689154426800087e-05,-8.845800039125606e-05,2,2049,,,,
,,,2,2078,0.6931105256080627,-4.5759702516079415e-06,-7.85073934821412e-05,0.50454181432724
0.6931332945823669,3.995802762801759e-05,1.2181312740722205e-05,3,2099,,,,
0.69309401512146,1.0735659998317715e-05,-9.559601312503219e-05,3,2149,,,,
0.6930806040763855,3.314158311695792e-05,-0.0001000789925456047,3,2199,,,,
0.6930946707725525,-5.180627340450883e-05,-0.00015691810403950512,3,2249,,,,
0.6930769085884094,3.90520399378147e-05,-0.00010148563887923956,3,2299,,,,
0.6930658221244812,4.628819442586973e-05,-0.00011645042104646564,3,2349,,,,
0.6930898427963257,-6.439685421355534e-06,-0.00012118648737668991,3,2399,,,,
0.693069577217102,-2.3489061277359724e-05,-0.00017875894263852388,3,2449,,,,
0.6931241154670715,7.183909474406391e-05,2.5793791792239062e-05,3,2499,,,,
0.6930741667747498,4.1221381252398714e-05,-0.00010480093624209985,3,2549,,,,
0.6930405497550964,3.0547992082574638e-06,-0.00021016858227085322,3,2599,,,,
0.6931426525115967,-3.656938861240633e-05,-4.563200491247699e-05,3,2649,,,,
0.6930896043777466,6.13937372690998e-05,-5.3754269174532965e-05,3,2699,,,,
0.69305020570755,-4.164391430094838e-05,-0.00023569099721498787,3,2749,,,,
,,,3,2771,0.6930942535400391,7.252108844113536e-06,-9.900734585244209e-05,0.6432871222496033
0.6930398344993591,1.4372109035321046e-05,-0.00020032573956996202,4,2799,,,,
0.6930698752403259,1.805037391022779e-05,-0.00013664910511579365,4,2849,,,,
0.6931183934211731,1.477244404668454e-05,-4.2848227167269215e-05,4,2899,,,,
0.6930522918701172,8.710611291462556e-05,-0.00010258721886202693,4,2949,,,,
0.6930261850357056,3.1744955776957795e-05,-0.00021024307352490723,4,2999,,,,
