Step,Fitness
0,-1.0091413855552673
1,-1.4111332952976228
2,-1.4111332952976228
3,-1.7501977682113647
4,-1.4163054883480073
5,-1.4163054883480073
6,-1.214305156469345
7,-1.214305156469345
8,-1.0209456145763398
9,-1.0209456145763398
10,-1.4724336922168733
11,-1.4215582013130188
12,-1.4215582013130188
13,-1.2195918679237365
14,-1.392197358608246
15,-1.392197358608246
16,-1.3966625034809113
17,-1.4146768629550934
18,-1.7055143654346465
19,-1.7055143654346465
20,-1.8560226261615753
21,-1.8560226261615753
22,-1.8560226261615753
23,-1.8560226261615753
24,-1.6372032105922698
25,-1.3978773713111878
26,-1.533469980955124
27,-1.533469980955124
28,-1.1116936266422273
29,-1.1116936266422273
30,-1.1116936266422273
31,-1.0516578555107117
32,-1.0516578555107117
33,-0.9523924261331558
34,-0.9523924261331558
35,-0.9523924261331558
36,-1.2254311680793761
37,-1.3972586512565612
38,-1.3972586512565612
39,-1.3972586512565612
40,-1.3972586512565612
41,-1.3972586512565612
42,-1.3972586512565612
43,-1.3972586512565612
44,-1.3972586512565612
45,-1.3972586512565612
46,-1.5297733962535858
47,-1.5297733962535858
48,-1.012969696521759
49,-1.0783512234687804
50,-1.0783512234687804
51,-0.5121788248419762
52,-0.5121788248419762
53,-0.5121788248419762
54,-0.5856029182672501
55,-0.5856029182672501
56,-0.9800581842660904
57,-0.9800581842660904
58,-0.9800581842660904
59,-0.9800581842660904
60,-1.0643308937549592
61,-1.0279120326042175
62,-1.0279120326042175
63,-1.0279120326042175
64,-1.187995582818985
65,-1.187995582818985
66,-1.4969711899757385
67,-1.4969711899757385
68,-1.5776770949363708
69,-1.4121934056282044
70,-1.289031207561493
71,-0.7903022348880768
72,-0.4968721315264702
73,-0.4968721315264702
74,-0.4968721315264702
75,-0.7292485803365707
76,-0.7292485803365707
77,-0.7292485803365707
78,-0.7292485803365707
79,-0.5753317564725876
80,-0.6019651561975479
81,-0.6555188119411468
82,-0.6555188119411468
83,-0.6555188119411468
84,-0.6555188119411468
85,-0.4591118976473808
86,-0.7704332739114761
87,-0.7704332739114761
88,-0.7704332739114761
89,-0.7860974967479706
90,-1.2078584849834442
91,-1.041006737947464
92,-1.3182111084461212
93,-1.3182111084461212
94,-1.3182111084461212
95,-1.090440285205841
96,-1.383496230840683
97,-1.383496230840683
98,-1.3619047105312347
99,-1.3619047105312347
100,-1.3619047105312347
101,-1.3619047105312347
102,-1.3619047105312347
103,-1.3619047105312347
104,-1.2855555593967438
105,-1.8104078948497773
106,-1.8104078948497773
107,-1.8104078948497773
108,-1.8104078948497773
109,-1.8104078948497773
110,-1.4069868564605712
111,-1.228925210237503
112,-1.1727968633174897
113,-1.1727968633174897
114,-1.1727968633174897
115,-1.134954822063446
116,-1.1777579069137574
117,-1.196541851758957
118,-1.3904783129692078
119,-1.3904783129692078
120,-1.3904783129692078
121,-1.3419427514076232
122,-0.8328380227088928
123,-1.1257653832435608
124,-1.1257653832435608
125,-1.290811502933502
126,-1.290811502933502
127,-1.4112347543239594
128,-1.4112347543239594
129,-1.4112347543239594
130,-1.4112347543239594
131,-1.4417661488056184
132,-1.244699364900589
133,-1.341118758916855
134,-1.341118758916855
135,-1.3615984320640564
136,-1.3471269845962524
137,-1.3471269845962524
138,-1.056070226430893
139,-0.729823237657547
140,-0.729823237657547
141,-0.729823237657547
142,-0.729823237657547
143,-0.729823237657547
144,-0.7212575137615204
145,-0.7272916346788406
146,-0.7272916346788406
147,-0.7272916346788406
148,-0.48485300689935684
149,-0.5007878333330155
150,-0.5007878333330155
151,-0.5007878333330155
152,-0.5007878333330155
153,-0.3860672637820244
154,-0.3860672637820244
155,-0.3860672637820244
156,-0.39829477220773696
157,-0.39829477220773696
158,-0.39829477220773696
159,-0.39829477220773696
160,-0.39829477220773696
161,-0.8708328574895858
162,-1.3338531315326692
163,-1.3338531315326692
164,-1.359766459465027
165,-1.359766459465027
166,-1.3276622593402863
167,-1.3491589963436126
168,-1.4620947301387788
169,-1.5240606009960174
170,-1.3898598432540894
171,-1.3898598432540894
172,-1.3898598432540894
173,-0.7493991315364837
174,-0.7986707150936126
175,-0.7986707150936126
176,-0.7986707150936126
177,-0.7986707150936126
178,-0.7986707150936126
179,-0.7890441238880157
180,-0.8171515733003616
181,-0.8171515733003616
182,-0.6764703810214996
183,-0.45393631160259246
184,-0.45393631160259246
185,-0.7237721294164657
186,-0.9593449532985687
187,-0.8727427661418915
188,-0.932876718044281
189,-0.932876718044281
190,-0.957326066493988
191,-0.957326066493988
192,-0.8477988868951798
193,-1.1724409103393554
194,-1.1724409103393554
195,-1.1724409103393554
196,-1.1724409103393554
197,-1.0309317708015442
198,-1.0309317708015442
199,-1.0765075445175172
200,-1.0765075445175172
201,-1.0765075445175172
202,-0.9137106359004974
203,-0.9299000114202499
204,-1.12497838139534
205,-1.12497838139534
206,-1.12497838139534
207,-1.12497838139534
208,-1.118504285812378
209,-1.118504285812378
210,-1.118504285812378
211,-1.026974606513977
212,-1.026974606513977
213,-1.026974606513977
214,-1.026974606513977
215,-1.026974606513977
216,-1.4164734542369843
217,-1.0865877747535706
218,-1.0865877747535706
219,-1.132218849658966
220,-1.2244018077850343
221,-1.2244018077850343
222,-1.2244018077850343
223,-1.2455466628074645
224,-1.2459423780441283
225,-1.3411765217781066
226,-1.3411765217781066
227,-1.4085279405117035
228,-1.4163328886032105
229,-1.482674276828766
230,-1.460652583837509
231,-1.460652583837509
232,-1.460652583837509
233,-1.4451779901981354
234,-1.4451779901981354
235,-1.495911568403244
236,-1.495911568403244
237,-1.445441997051239
238,-1.3879553139209748
239,-1.2580442786216737
240,-1.3716639459133149
241,-1.3099608838558197
242,-1.501002460718155
243,-1.4159536123275758
244,-1.5140363454818726
245,-1.5140363454818726
246,-1.5214873909950257
247,-1.1442018926143647
248,-1.1442018926143647
249,-1.1952881872653962
250,-1.1952881872653962
251,-1.1952881872653962
252,-1.1213500320911407
253,-0.904361554980278
254,-0.996184703707695
255,-0.996184703707695
256,-1.4560752213001251
257,-1.054534560441971
258,-1.210827362537384
259,-1.210827362537384
260,-1.210827362537384
261,-1.210827362537384
262,-1.210827362537384
263,-1.210827362537384
264,-1.210827362537384
265,-1.2940870106220246
266,-1.2940870106220246
267,-1.2940870106220246
268,-1.3576655209064483
269,-1.3576655209064483
270,-1.3576655209064483
271,-1.4556911289691925
272,-1.4556911289691925
273,-1.4556911289691925
274,-1.027597963809967
275,-1.027597963809967
276,-1.007197019457817
277,-1.1068678736686706
278,-1.1068678736686706
279,-1.1068678736686706
280,-1.1068678736686706
281,-1.1068678736686706
282,-1.1068678736686706
283,-1.5738013803958892
284,-1.3626468777656555
285,-1.1645585477352143
286,-1.1645585477352143
287,-1.049542200565338
288,-1.049542200565338
289,0.05228932434692979
290,0.2896557629108429
291,0.21505839824676515
292,0.21505839824676515
293,0.21505839824676515
294,0.21505839824676515
295,0.10826355554163455
296,0.10826355554163455
297,-0.04239802621304989
298,0.10271414369344711
299,0.10271414369344711
300,0.1562506791204214
301,0.1562506791204214
302,0.1562506791204214
303,-0.1718691237270832
304,-0.1718691237270832
305,-0.1718691237270832
306,-0.1718691237270832
307,-0.1718691237270832
308,0.05859174132347107
309,0.05859174132347107
310,0.05859174132347107
311,0.05859174132347107
312,0.05859174132347107
313,-0.29793237149715424
314,0.13582243584096432
315,0.13582243584096432
316,0.13582243584096432
317,0.13582243584096432
318,0.13582243584096432
319,0.0009501639753580135
320,-0.13189702257514
321,-0.13189702257514
322,-0.13189702257514
323,-0.13189702257514
324,-0.13189702257514
325,-0.1314610630273819
326,-0.1748804822564125
327,-0.1748804822564125
328,-0.1748804822564125
329,-0.13050976097583772
330,-0.13050976097583772
331,-0.155802483856678
332,-0.155802483856678
333,-0.155802483856678
334,-0.14761621616780757
335,-0.0907812274992466
336,-0.0907812274992466
337,-0.2775683030486107
338,-0.2775683030486107
339,-0.2775683030486107
340,-0.258781386166811
341,-0.26922595500946045
342,-0.26922595500946045
343,-0.26922595500946045
344,-0.26922595500946045
345,-0.10065516084432602
346,-0.10065516084432602
347,-0.10065516084432602
348,-0.08894131183624268
349,-0.08894131183624268
350,-0.06320367772132157
351,-0.06320367772132157
352,-0.05607802364975214
353,-0.05607802364975214
354,-0.05607802364975214
355,-0.05607802364975214
356,-0.05607802364975214
357,-0.05607802364975214
358,0.020394690986722707
359,0.020394690986722707
360,0.020394690986722707
361,0.020394690986722707
362,0.05740097211673856
363,0.05740097211673856
364,0.07593362629413605
365,0.07593362629413605
366,0.17035660073161124
367,0.20503895431756974
368,0.20503895431756974
369,0.13508031703531742
370,0.08657125197350979
371,0.08657125197350979
372,0.11174480840563775
373,0.11174480840563775
374,0.11174480840563775
375,0.11174480840563775
376,-0.026674707606434818
377,0.05205047195777297
378,0.05205047195777297
379,0.05205047195777297
380,0.05205047195777297
381,0.05205047195777297
382,-0.2811331167817116
383,-0.272854383289814
384,-0.08099207915365696
385,-0.08099207915365696
386,-0.42972043007612226
387,-0.42972043007612226
388,-0.42972043007612226
389,0.0976163912564516
390,-0.248012325912714
391,-0.032749490998685356
392,-0.032749490998685356
393,0.04178109280765057
394,-0.06486693611368537
395,-0.6769655466079711
396,0.014738993439823392
397,0.0970884945243597
398,0.0970884945243597
399,0.11665006019175053
400,0.11665006019175053
401,0.1254375319927931
402,0.1254375319927931
403,0.013125885371118785
404,0.19672962576150893
405,0.19672962576150893
406,0.19672962576150893
407,0.19672962576150893
408,0.19672962576150893
409,0.19672962576150893
410,0.19672962576150893
411,0.19672962576150893
412,0.19672962576150893
413,-0.00881116036325693
414,0.3134796753525734
415,0.3134796753525734
416,0.3134796753525734
417,0.3134796753525734
418,0.3134796753525734
419,0.3134796753525734
420,0.3134796753525734
421,0.3134796753525734
422,0.3134796753525734
423,0.3134796753525734
424,0.3134796753525734
425,0.3417407348752022
426,0.3417407348752022
427,0.37065097093582156
428,0.37065097093582156
429,0.37065097093582156
430,0.37065097093582156
431,0.37065097093582156
432,0.25670907869935033
433,0.24103150889277458
434,0.2619977526366711
435,0.2619977526366711
436,0.13114850111305715
437,0.13114850111305715
438,0.13114850111305715
439,0.2380170576274395
440,0.2380170576274395
441,0.2380170576274395
442,0.2380170576274395
443,0.19895442724227905
444,0.19895442724227905
445,0.19895442724227905
446,0.47560768872499465
447,0.47560768872499465
448,0.4785117283463478
449,0.5025084063410759
450,0.5989278197288513
451,0.5603106394410133
452,0.5603106394410133
453,0.5603106394410133
454,0.5603106394410133
455,0.36801202297210694
456,0.4265873312950134
457,0.4265873312950134
458,0.4453661903738976
459,0.4453661903738976
460,0.4453661903738976
461,0.4453661903738976
462,0.4453661903738976
463,0.345149764418602
464,0.344465346634388
465,0.344465346634388
466,0.6395780682563782
467,0.6395780682563782
468,0.6395780682563782
469,0.6395780682563782
470,0.6395780682563782
471,0.6395780682563782
472,0.6395780682563782
473,0.6395780682563782
474,0.6395780682563782
475,0.6395780682563782
476,0.6395780682563782
477,0.6395780682563782
478,0.6395780682563782
479,0.9085538029670716
480,0.9085538029670716
481,0.9085538029670716
482,0.9085538029670716
483,0.6180130481719971
484,0.6180130481719971
485,0.6180130481719971
486,0.6180130481719971
487,0.8783757984638214
488,0.8783757984638214
489,0.7061237782239914
490,0.7061237782239914
491,0.7061237782239914
492,0.7061237782239914
493,0.7061237782239914
494,0.7673275202512742
495,0.7673275202512742
496,0.7673275202512742
497,0.41437574177980424
498,0.41437574177980424
499,0.41437574177980424
500,0.41437574177980424
501,0.11293799206614495
502,0.33795740008354186
503,0.33795740008354186
504,0.33795740008354186
505,0.33795740008354186
506,0.33795740008354186
507,0.33795740008354186
508,0.33795740008354186
509,0.33795740008354186
510,0.33795740008354186
511,0.5040335521101952
512,0.5040335521101952
513,0.5040335521101952
514,0.188248198479414
515,0.188248198479414
516,0.188248198479414
517,0.188248198479414
518,0.188248198479414
519,0.188248198479414
520,0.188248198479414
521,0.188248198479414
522,0.188248198479414
523,0.049639368895441294
524,0.049639368895441294
525,0.049639368895441294
526,0.049639368895441294
527,0.049639368895441294
528,0.2964304283261299
529,0.2964304283261299
530,0.20112007036805152
531,0.20112007036805152
532,0.20112007036805152
533,0.20112007036805152
534,0.20112007036805152
535,0.38994973003864286
536,0.5963934004306793
537,0.5963934004306793
538,0.5963934004306793
539,0.5963934004306793
540,0.5963934004306793
541,0.5670695215463638
542,0.5670695215463638
543,0.5403377518057824
544,0.5403377518057824
545,0.6861510068178177
546,0.6861510068178177
547,0.5141483873128891
548,0.35614574551582334
549,0.3679609000682831
550,0.3679609000682831
551,0.3679609000682831
552,0.6753778249025345
553,0.6753778249025345
554,0.6753778249025345
555,0.5289242371916771
556,0.5964268863201141
557,0.5810976326465607
558,0.5810976326465607
559,0.4066942796111107
560,0.4066942796111107
561,0.4066942796111107
562,0.4066942796111107
563,0.6069759011268616
564,0.6069759011268616
565,0.6069759011268616
566,0.6069759011268616
567,0.6069759011268616
568,0.515972375869751
569,0.515972375869751
570,0.515972375869751
571,0.515972375869751
572,0.515972375869751
573,0.7672736942768097
574,0.7672736942768097
575,0.7672736942768097
576,0.7672736942768097
577,0.7672736942768097
578,0.7672736942768097
579,0.7672736942768097
580,0.7672736942768097
581,0.7672736942768097
582,0.7672736942768097
583,0.7672736942768097
584,0.7672736942768097
585,0.4883746013045311
586,0.4883746013045311
587,0.4883746013045311
588,0.926542517542839
589,0.926542517542839
590,1.1167098104953765
591,0.8693282425403595
592,0.8693282425403595
593,0.8693282425403595
594,0.8848029464483261
595,0.8848029464483261
596,1.1072304546833038
597,1.1072304546833038
598,1.1072304546833038
599,1.1072304546833038
600,1.1072304546833038
601,0.18938624672591686
602,0.18938624672591686
603,0.18938624672591686
604,0.18938624672591686
605,0.18938624672591686
606,0.18305827416479586
607,-0.0020460443571209894
608,-0.017049937695264816
609,0.32375652343034744
610,0.28842431753873826
611,0.28842431753873826
612,0.29198824167251586
613,0.29198824167251586
614,0.29198824167251586
615,0.29198824167251586
616,0.29198824167251586
617,0.29198824167251586
618,0.015061507094651462
619,0.047569549176841974
620,0.047569549176841974
621,0.047569549176841974
622,0.047569549176841974
623,0.276704990118742
624,0.276704990118742
625,0.276704990118742
626,0.46098838597536085
627,0.5338907971978187
628,0.5338907971978187
629,0.4852213814854622
630,0.19383971393108368
631,0.19383971393108368
632,0.19383971393108368
633,0.14178565628826617
634,0.14178565628826617
635,0.14178565628826617
636,0.19989757016301157
637,0.23887306004762648
638,-0.011101067648269236
639,0.19665287658572198
640,0.19665287658572198
641,0.19665287658572198
642,0.1233770102262497
643,0.1233770102262497
644,0.1233770102262497
645,0.1233770102262497
646,-0.01986314337700605
647,-0.01986314337700605
648,0.006336406990885737
649,0.006336406990885737
650,0.006336406990885737
651,-0.5540988147258759
652,-0.3587942600250244
653,0.26517646908760073
654,0.26517646908760073
655,0.337363101541996
656,0.276463682949543
657,0.09014646261930466
658,0.09014646261930466
659,0.09014646261930466
660,0.08389350809156895
661,0.15926770754158498
662,0.15926770754158498
663,0.15926770754158498
664,0.15926770754158498
665,0.2618460677564144
666,0.2618460677564144
667,0.40206554234027864
668,0.40206554234027864
669,0.38839135617017745
670,0.3512886807322502
671,0.3512886807322502
672,0.3512886807322502
673,0.3512886807322502
674,0.3512886807322502
675,0.6196761935949325
676,0.5137583613395691
677,0.5299005314707756
678,0.5299005314707756
679,0.5299005314707756
680,0.4422131568193436
681,0.1871937870979309
682,0.1871937870979309
683,0.0829311509616673
684,0.0829311509616673
685,0.19244322851300238
686,0.19244322851300238
687,0.19244322851300238
688,0.19244322851300238
689,0.30749485194683074
690,0.30749485194683074
691,0.30749485194683074
692,0.026910206908360122
693,0.13013028241693975
694,0.13013028241693975
695,0.1558999937027693
696,0.1558999937027693
697,0.1558999937027693
698,0.1558999937027693
699,0.12135070003569126
700,0.10522089451551438
701,0.10522089451551438
702,0.10522089451551438
703,0.23509806916117668
704,0.23509806916117668
705,0.3701610341668129
706,0.3701610341668129
707,0.38545774668455124
708,0.28105223178863525
709,0.639212965965271
710,0.639212965965271
711,0.639212965965271
712,0.639212965965271
713,0.639212965965271
714,0.4238580659031868
715,0.6919847667217255
716,0.6919847667217255
717,0.6919847667217255
718,0.6919847667217255
719,0.6919847667217255
720,0.9208366513252259
721,0.896377432346344
722,0.896377432346344
723,0.896377432346344
724,0.896377432346344
725,0.896377432346344
726,0.896377432346344
727,0.896377432346344
728,0.896377432346344
729,0.896377432346344
730,0.8092114925384521
731,0.8092114925384521
732,0.8092114925384521
733,0.8092114925384521
734,0.8092114925384521
735,0.5625202462077141
736,0.5625202462077141
737,0.5625202462077141
738,0.5625202462077141
739,0.5625202462077141
740,0.5625202462077141
741,0.5625202462077141
742,0.6966493308544159
743,0.6966493308544159
744,0.6707957923412323
745,0.6707957923412323
746,0.6707957923412323
747,0.6707957923412323
748,0.31781920343637465
749,0.31781920343637465
750,0.31781920343637465
751,0.31781920343637465
752,0.2750696584582329
753,0.2750696584582329
754,0.2750696584582329
755,0.2302442103624344
756,0.2302442103624344
757,0.12343563511967659
758,0.2335018113255501
759,0.2335018113255501
760,0.2335018113255501
761,0.2335018113255501
762,0.2335018113255501
763,0.2335018113255501
764,0.2335018113255501
765,0.2335018113255501
766,0.3931721940636635
767,0.5122915804386139
768,0.5122915804386139
769,0.5122915804386139
770,0.5122915804386139
771,0.4956240549683571
772,0.4956240549683571
773,0.4956240549683571
774,0.4956240549683571
775,0.5092307105660439
776,0.5092307105660439
777,0.42054727375507356
778,0.43093346059322357
779,0.43093346059322357
780,0.43093346059322357
781,0.43093346059322357
782,0.37896483242511747
783,0.3490444630384445
784,0.05301211988553405
785,0.05301211988553405
786,0.05301211988553405
787,0.1548807132989168
788,0.1548807132989168
789,0.1548807132989168
790,0.1548807132989168
791,0.1548807132989168
792,0.2170034609735012
793,0.059991175122559075
794,-0.11716708876192569
795,-0.2140128143131733
796,-0.2140128143131733
797,-0.07725154906511307
798,-0.43180487751960756
799,-0.43180487751960756
800,-0.43180487751960756
801,-0.018674355000257492
802,0.42089551091194155
803,0.4079371437430382
804,0.4079371437430382
805,0.4079371437430382
806,0.4079371437430382
807,0.4079371437430382
808,0.7633726984262467
809,0.7633726984262467
810,0.7633726984262467
811,0.7633726984262467
812,0.6921434491872788
813,0.6149532705545425
814,0.6149532705545425
815,0.6149532705545425
816,0.6508902132511138
