val_ce_loss,val_kl_divergence,epoch,step,train_ce_loss
1764.4320068359375,7039.01904296875,73,506973,
,7548.1826171875,73,506973,1343.7869873046875
1878.21484375,7078.23828125,74,513824,
,7528.51416015625,74,513824,1343.8719482421875
1874.0943603515625,7087.64501953125,75,520675,
,7499.81201171875,75,520675,1342.559326171875
1790.8345947265625,7052.72607421875,76,527526,
,7477.22998046875,76,527526,1342.203369140625
1844.21337890625,6945.978515625,77,534377,
,7455.9140625,77,534377,1341.710693359375
1786.225341796875,6918.51220703125,78,541228,
,7424.67333984375,78,541228,1340.6988525390625
1755.5289306640625,6875.87548828125,79,548079,
,7403.4677734375,79,548079,1340.677734375
1928.6339111328125,6997.3642578125,80,554930,
,7381.263671875,80,554930,1340.5889892578125
1841.1103515625,6979.744140625,81,561781,
,7351.154296875,81,561781,1339.951171875
1824.272216796875,6878.12353515625,82,568632,
,7333.14892578125,82,568632,1339.2713623046875
1827.8876953125,6972.380859375,83,575483,
,7305.07177734375,83,575483,1339.3968505859375
1913.67578125,6820.54638671875,84,582334,
,7282.67041015625,84,582334,1339.070556640625
1870.2462158203125,6883.7119140625,85,589185,
,7260.36083984375,85,589185,1338.4705810546875
1828.21728515625,6767.71630859375,86,596036,
,7239.05419921875,86,596036,1338.621337890625
1811.8255615234373,6853.642578125,87,602887,
,7217.984375,87,602887,1338.33447265625
1835.6385498046875,6803.70458984375,88,609738,
,7195.11572265625,88,609738,1338.5465087890625
1905.468017578125,6687.2138671875,89,616589,
,7174.48095703125,89,616589,1338.0869140625
1807.8653564453125,6799.30078125,90,623440,
,7152.58203125,90,623440,1338.495361328125
1913.705810546875,6733.32763671875,91,630291,
,7131.59765625,91,630291,1337.9075927734375
1909.66064453125,6644.53759765625,92,637142,
,7109.91845703125,92,637142,1338.4171142578125
1808.9642333984373,6681.0419921875,93,643993,
,7084.775390625,93,643993,1338.7568359375
1860.215087890625,6668.2646484375,94,650844,
,7066.55712890625,94,650844,1338.4312744140625
1852.0733642578125,6729.27099609375,95,657695,
,7044.177734375,95,657695,1338.5831298828125
1976.612548828125,6688.07080078125,96,664546,
,7025.6591796875,96,664546,1339.36279296875
2060.32763671875,6692.1201171875,97,671397,
,7002.951171875,97,671397,1339.2525634765625
1877.6153564453125,6608.837890625,98,678248,
,6980.56884765625,98,678248,1339.7532958984375
1812.037109375,6530.4501953125,99,685099,
,6959.98583984375,99,685099,1339.8446044921875
1948.4422607421875,6479.6748046875,100,691950,
,6939.16650390625,100,691950,1340.21240234375
1953.1781005859373,6546.4130859375,101,698801,
,6920.68310546875,101,698801,1340.726806640625
1894.7060546875,6513.45751953125,102,705652,
,6897.48486328125,102,705652,1341.4134521484375
1834.6268310546875,6481.46337890625,103,712503,
,6877.494140625,103,712503,1341.812255859375
1870.757568359375,6456.99560546875,104,719354,
,6858.0390625,104,719354,1342.69873046875
1837.836181640625,6510.974609375,105,726205,
,6838.94580078125,105,726205,1343.153076171875
1846.7376708984373,6556.31982421875,106,733056,
,6817.1533203125,106,733056,1343.4326171875
1891.814697265625,6334.720703125,107,739907,
,6797.3525390625,107,739907,1344.5240478515625
1807.017578125,6442.3642578125,108,746758,
,6779.19775390625,108,746758,1344.99072265625
1956.6627197265625,6517.97021484375,109,753609,
,6757.82373046875,109,753609,1345.881103515625
1833.9022216796875,6400.0078125,110,760460,
,6735.68994140625,110,760460,1346.7669677734375
1849.46484375,6473.10693359375,111,767311,
,6721.4814453125,111,767311,1347.6131591796875
1957.2933349609373,6408.607421875,112,774162,
,6695.74658203125,112,774162,1348.2276611328125
1841.3028564453125,6334.89013671875,113,781013,
,6679.33056640625,113,781013,1349.316650390625
1901.03564453125,6362.23046875,114,787864,
,6659.74560546875,114,787864,1350.2890625
1872.5662841796875,6308.853515625,115,794715,
,6640.9228515625,115,794715,1351.2703857421875
1903.0015869140625,6398.4462890625,116,801566,
,6620.7783203125,116,801566,1352.6868896484375
1930.13427734375,6328.6728515625,117,808417,
,6601.39599609375,117,808417,1353.5845947265625
1860.0638427734373,6385.13671875,118,815268,
,6581.2216796875,118,815268,1355.232421875
1880.5023193359373,6242.0888671875,119,822119,
,6563.12646484375,119,822119,1356.551025390625
1848.07373046875,6298.85693359375,120,828970,
,6544.025390625,120,828970,1356.8021240234375
1934.55322265625,6306.9130859375,121,835821,
,6522.12890625,121,835821,1358.29736328125
1876.3087158203125,6160.17578125,122,842672,
,6505.8310546875,122,842672,1359.967041015625
1957.855224609375,6223.072265625,123,849523,
,6483.31103515625,123,849523,1361.3642578125
1920.483642578125,6199.7333984375,124,856374,
,6464.7158203125,124,856374,1363.3140869140625
1911.8450927734373,6112.5693359375,125,863225,
,6445.50634765625,125,863225,1364.725341796875
1950.4432373046875,6158.88330078125,126,870076,
,6424.59912109375,126,870076,1366.2254638671875
1919.6519775390625,6038.794921875,127,876927,
,6405.78076171875,127,876927,1367.1278076171875
1930.6510009765625,6139.6650390625,128,883778,
,6385.4677734375,128,883778,1369.65380859375
1860.923828125,6234.7275390625,129,890629,
,6365.90869140625,129,890629,1371.0216064453125
1960.995849609375,6212.57568359375,130,897480,
,6348.39404296875,130,897480,1372.140380859375
2043.6605224609373,6018.71044921875,131,904331,
,6327.06640625,131,904331,1374.2208251953125
1970.5513916015625,5949.45361328125,132,911182,
,6305.5400390625,132,911182,1375.5257568359375
1970.5106201171875,6021.63818359375,133,918033,
,6287.9384765625,133,918033,1377.4327392578125
1851.0609130859373,6082.21923828125,134,924884,
,6267.0234375,134,924884,1378.0765380859375
1871.7025146484373,6027.12158203125,135,931735,
,6249.2978515625,135,931735,1380.5958251953125
1955.5015869140625,5998.765625,136,938586,
,6229.77685546875,136,938586,1382.0377197265625
1922.511474609375,6064.48974609375,137,945437,
,6210.611328125,137,945437,1383.239501953125
1919.022216796875,5972.70458984375,138,952288,
,6191.1669921875,138,952288,1385.7828369140625
1852.0946044921875,5943.80517578125,139,959139,
,6171.14794921875,139,959139,1387.1072998046875
1883.223876953125,5893.24560546875,140,965990,
,6153.63720703125,140,965990,1388.25048828125
1977.821044921875,5868.23828125,141,972841,
,6135.14794921875,141,972841,1390.412841796875
1917.776611328125,5864.99951171875,142,979692,
,6118.28369140625,142,979692,1392.0869140625
1997.9407958984373,5863.17919921875,143,986543,
,6100.58984375,143,986543,1393.4488525390625
2031.120849609375,5841.640625,144,993394,
,6081.3837890625,144,993394,1395.5523681640625
1924.5830078125,5808.53466796875,145,1000245,
,6063.4794921875,145,1000245,1396.381591796875
1894.7342529296875,5776.076171875,146,1007096,
,6046.896484375,146,1007096,1398.760498046875
1922.5772705078125,5893.361328125,147,1013947,
,6030.8818359375,147,1013947,1400.3653564453125
1908.5123291015625,5834.5009765625,148,1020798,
,6012.20166015625,148,1020798,1402.344482421875
1948.085693359375,5782.1396484375,149,1027649,
,5993.896484375,149,1027649,1404.1922607421875
1899.63525390625,5764.236328125,150,1034500,
,5977.056640625,150,1034500,1405.92724609375
1953.467529296875,5762.08984375,151,1041351,
,5960.091796875,151,1041351,1408.232421875
1893.5672607421875,5766.923828125,152,1048202,
,5944.1416015625,152,1048202,1409.6346435546875
1964.0042724609373,5713.7578125,153,1055053,
,5928.00048828125,153,1055053,1412.2265625
1993.265380859375,5749.3662109375,154,1061904,
,5910.1630859375,154,1061904,1414.294189453125
2003.2047119140625,5587.94140625,155,1068755,
,5891.17919921875,155,1068755,1416.916259765625
1999.0374755859373,5637.44921875,156,1075606,
,5875.50341796875,156,1075606,1419.1600341796875
1936.5860595703125,5629.5234375,157,1082457,
,5858.05615234375,157,1082457,1421.436279296875
1959.92041015625,5653.06640625,158,1089308,
,5843.63671875,158,1089308,1424.327880859375
2036.266357421875,5438.119140625,159,1096159,
,5824.44189453125,159,1096159,1426.673095703125
2116.55810546875,5542.4091796875,160,1103010,
,5807.05078125,160,1103010,1428.8388671875
2021.4552001953125,5519.00927734375,161,1109861,
,5791.91015625,161,1109861,1432.2078857421875
1922.167724609375,5583.54736328125,162,1116712,
,5774.4169921875,162,1116712,1435.068603515625
2071.99169921875,5439.330078125,163,1123563,
,5759.49951171875,163,1123563,1437.1285400390625
1936.9747314453125,5587.400390625,164,1130414,
,5742.1533203125,164,1130414,1440.05810546875
1972.0263671875,5592.7939453125,165,1137265,
,5722.80517578125,165,1137265,1443.102294921875
1920.0068359375,5545.24365234375,166,1144116,
,5707.03564453125,166,1144116,1446.444091796875
1917.413330078125,5534.86865234375,167,1150967,
,5689.12744140625,167,1150967,1449.22705078125
2003.1024169921875,5480.05029296875,168,1157818,
,5673.23291015625,168,1157818,1452.7786865234375
2018.487060546875,5414.06982421875,169,1164669,
,5656.21533203125,169,1164669,1456.253662109375
2093.200927734375,5331.9609375,170,1171520,
,5638.91943359375,170,1171520,1459.099365234375
