kl_divergence,mean_ratio_initial_iter,median_ratio_initial_iter,pairwise_hd_aver,mean_hd_from_CreiLOV,fitness_advantage,total_reward,ppo_loss_initial_iter,num_muts,aver_num_masks_to_add_muts,batch_size,epoch,step,rel_WT_fitness,max_norm
0.0,1.0,1.0,9.0,5.0,0.17561323940753937,0.17562223970890045,-0.17578125,5.0,5.5,2.0,0,0,,
,,,,,,,,,,,0,0,0.17561323940753937,0.18549151718616486
0.026304807513952255,0.96875,0.96875,9.666666984558105,5.0,0.8920799493789673,0.8920896053314209,-0.8359375,5.0,5.0,3.0,1,1,,
,,,,,,,,,,,1,1,0.8920799493789673,0.5368233919143677
0.012627538293600082,1.0234375,0.984375,9.333333969116211,5.0,0.5433244109153748,0.5433337688446045,-0.546875,5.0,5.25,4.0,2,2,,
,,,,,,,,,,,2,2,0.5433244109153748,0.5078994631767273
0.013392161577939987,1.0390625,0.9765625,9.600000381469727,5.0,1.1805915832519531,1.1806012392044067,-1.1953125,5.0,5.599999904632568,5.0,3,3,,
,,,,,,,,,,,3,3,1.1805915832519531,0.6191257834434509
0.019158778712153435,1.0390625,1.015625,7.800000190734863,5.0,0.6441857814788818,0.6441935896873474,-0.66015625,5.0,4.333333492279053,6.0,4,4,,
,,,,,,,,,,,4,4,0.6441857814788818,0.6332510709762573
0.03266574814915657,0.97265625,1.015625,7.38095235824585,5.0,1.3726189136505127,1.3726263046264648,-1.296875,5.0,4.4285712242126465,7.0,5,5,,
,,,,,,,,,,,5,5,1.3726189136505127,0.6651047468185425
0.031146660447120667,1.0625,1.0390625,7.607143402099609,5.0,0.9927060008049011,0.9927136301994324,-1.0234375,5.0,4.125,8.0,6,6,,
,,,,,,,,,,,6,6,0.9927060008049011,0.9879795908927917
0.03035488910973072,1.03125,1.0390625,7.805555820465088,5.0,1.6313852071762085,1.6313929557800293,-1.6484375,5.0,4.44444465637207,9.0,7,7,,
,,,,,,,,,,,7,7,1.6313852071762085,1.3378928899765015
0.035357069224119186,1.078125,1.0625,7.44444465637207,5.0,1.526617407798767,1.5266247987747192,-1.5625,5.0,4.199999809265137,10.0,8,8,,
,,,,,,,,,,,8,8,1.526617407798767,0.8888421058654785
0.04286389797925949,1.09375,1.0703125,5.711111068725586,5.0,1.8791381120681763,1.8791438341140747,-1.96875,5.0,3.4000000953674316,10.0,9,9,,
,,,,,,,,,,,9,9,1.8791381120681763,0.9030010104179382
