final_loss,train_loss,epoch,step,max_score,median_score,mean_score,max_norm
2.8762412071228027,3.1497576236724854,0,0,,,,
1.4158997535705566,1.5671995878219604,0,1,,,,
1.1497368812561035,1.2405412197113037,0,2,,,,
0.9290627241134644,1.0143671035766602,0,3,,,,
0.9598540663719177,1.0275100469589233,0,4,,,,
0.9085100889205933,1.0084869861602783,0,5,,,,
0.8513676524162292,0.9336592555046082,0,6,,,,
0.8580677509307861,0.9342029094696045,0,7,,,,
1.0846327543258667,1.3570380210876465,0,8,,,,
0.9386729598045349,1.0641793012619019,0,9,,,,
0.7384846806526184,0.8413570523262024,0,10,4.175856590270996,4.028011322021484,4.019914627075195,
,,0,10,,,,0.6574091911315918
