kl_divergence,mean_ratio_initial_iter,median_ratio_initial_iter,pairwise_hd_aver,mean_hd_from_CreiLOV,fitness_advantage,total_reward,ppo_loss_initial_iter,num_muts,aver_num_masks_to_add_muts,batch_size,epoch,step,rel_WT_fitness,max_norm
0.0,1.0,1.0,8.0,8.0,0.21031229197978973,0.21032029390335083,-0.2099609375,8.0,5.0,2.0,0,0,,
,,,,,,,,,,,0,0,0.21031229197978973,0.10181192308664322
0.010108972899615765,1.0390625,1.0,7.333333492279053,8.0,0.30627888441085815,0.3062862157821655,-0.3125,8.0,5.0,3.0,1,1,,
,,,,,,,,,,,1,1,0.30627888441085815,0.1004352942109108
0.02477830834686756,1.0390625,1.0,7.5,8.0,0.23278020322322845,0.23278769850730896,-0.23046875,8.0,6.0,4.0,2,2,,
,,,,,,,,,,,2,2,0.23278020322322845,0.09661626070737839
0.029984958469867706,0.99609375,1.0,7.800000190734863,8.0,0.31946903467178345,0.319476842880249,-0.3046875,8.0,4.800000190734863,5.0,3,3,,
,,,,,,,,,,,3,3,0.31946903467178345,0.12163916230201721
0.03021842986345291,1.078125,1.0,7.733333587646484,8.0,0.24738816916942596,0.24739590287208557,-0.25390625,8.0,4.666666507720947,6.0,4,4,,
,,,,,,,,,,,4,4,0.24738816916942596,0.10898762941360474
